group,temp,do_consumed
Group E,15,-2.288639559
Group G,15,-0.808823529
GROUP S,15,-5.637636081
GROUP K ,15,-8.748600224
GROUP M,15,-1.921894219
Group N,15,1.346982759
Group A,15,28.12599049
Group Slimy ,15,30.28846154
Group F,15,11.3556338
Group J,15,1.496478873
Group E,18,1.168668288
Group G,18,34.87460815
GROUP S,18,33.33333333
GROUP K ,18,32.01058201
GROUP M,18,4.100714683
Group N,18,-8.885850991
Group A,18,39.0840463
Group Slimy ,18,46.6442953
Group F,18,37.64071295
Group R ,18,9.730113636
Group L,21,24.66492926
Group E,21,60.288371
Group G,21,22.72271268
GROUP K ,21,64.57228117
GROUP M,21,31.04980909
Group N*,21,79.14806548
Group A,21,43.32082082
Group Slimy ,21,77.73876404
Group F,21,63.97386871
Group J,21,57.26102941
Group L,24,60.08725844
Group E,24,60.91895722
Group G,24,55.01273956
GROUP K ,24,79.15741412
GROUP M,24,81.89055598
Group N*,24,55.05608316
Group A,24,52.92416526
Group Slimy ,24,68.45057314
Group F,24,69.66502069
Group R ,24,86.17584746
Group L,27,88.5064536
Group E,27,57.34536082
Group G,27,45.51724138
GROUP K ,27,57.97101449
GROUP M,27,81.39136395
Group N*,27,76.64233577
Group A,27,60.27289182
Group Slimy ,27,60.86956522
Group F,27,57.41216795
Group R ,27,78.01339286
Group E,30,67.717654
Group G,30,24.66923925
GROUP S,30,72.2985634
GROUP K ,30,73.8874895
GROUP M,30,65.13476158
Group N*,30,88.38383838
Group A,30,57.53424658
Group Slimy ,30,79.28082192
Group F,30,80.6122449
Group J,30,38.24986241
