species,group_name,salt_conc,shoot_fw,root_fw,total_fw,shoot_dw,root_dw,total_dw,shoot_height,root_length,leaf_no,leaf_no_ratio,shoot_height_ratio,root_length_ratio,fw_shoot_root_ratio,dw_shoot_root_ratio,shoot_moisture,root_moisture,total_moisture
Barley,sprouts,0,2.869,0.997,3.866,0.177,0.031,0.208,38,20.5,7,0.76,0.96,0.98,2.88,5.71,0.94,0.97,0.95
Barley,Green Beans,0,2.936,5.7943,8.7303,0.33,0.086,0.416,36.2,25.5,6,0.65,0.92,1.22,0.51,3.84,0.89,0.99,0.95
Barley,GT,0,1.9,4.035,5.935,0.418,0.118,0.536,42,22,10,1.08,1.06,1.05,0.47,3.54,0.78,0.97,0.91
Barley,Lab Group A,0,3.719,6.3583,10.077,0.405,0.11,0.515,43.1,21.8,11,1.19,1.09,1.04,0.58,3.68,0.89,0.98,0.95
Barley,Mushies,0,3.298,0.956,4.254,0.334,0.064,0.398,39.5,17.5,9,0.98,1,0.84,3.45,5.22,0.9,0.93,0.91
Barley,Salt,0,3.7036,1.7324,5.436,0.421,0.119,0.54,36.6,17.7,11,1.19,0.93,0.85,2.14,3.54,0.89,0.93,0.9
Barley,Salty Bitches,0,1.844,0.468,2.312,0.206,0.052,0.258,36.5,17.5,6,0.65,0.93,0.84,3.94,3.96,0.89,0.89,0.89
Barley,Salty Sprouts,0,4.021,2.645,6.666,0.465,0.213,0.357,40.1,28,12,1.3,1.02,1.34,1.52,2.18,0.88,0.92,0.95
Barley,WGW,0,4.63,1.485,6.115,0.409,0.102,0.511,43,17.5,11,1.19,1.09,0.84,3.12,4.01,0.91,0.93,0.92
Barley,Green Beans,1.5,3.5512,1.3322,4.8834,0.397,0.092,0.489,37.7,32.8,12,1.3,0.96,1.57,2.67,4.32,0.89,0.93,0.9
Barley,GT,1.5,1.8823,0.9037,2.786,0.157,0.047,0.204,32.4,17.2,6,0.65,0.82,0.82,2.08,3.34,0.92,0.95,0.93
Barley,Lab Group A,1.5,2.571,1.087,3.658,0.284,0.074,0.358,37.2,21,7,0.76,0.94,1.01,2.37,3.84,0.89,0.93,0.9
Barley,Mushies,1.5,1.328,0.475,1.803,0.174,0.039,0.213,34,16,7,0.76,0.86,0.77,2.8,4.46,0.87,0.92,0.88
Barley,Salt,1.5,3.663,1.624,5.287,0.417,0.129,0.546,39.1,18.7,13,1.41,0.99,0.9,2.26,3.23,0.89,0.92,0.9
Barley,Salty Bitches,1.5,2.794,0.795,3.589,0.323,0.075,0.398,37.4,14.5,7,0.76,0.95,0.69,3.51,4.31,0.88,0.91,0.89
Barley,Salty Sprouts,1.5,2.804,0.814,3.618,0.352,0.086,0.312,33,15.5,8,0.87,0.84,0.74,3.44,4.09,0.87,0.89,0.91
Barley,sprouts,1.5,2.466,0.852,3.318,0.117,0.018,0.135,37.5,14.7,5,0.54,0.95,0.7,2.89,6.5,0.95,0.98,0.96
Barley,WGW,1.5,3.77,1.6,5.37,0.41,0.095,0.505,36.5,17,14,1.52,0.93,0.81,2.36,4.32,0.89,0.94,0.91
Barley,sprouts,2.5,2.6425,1.188,3.8305,0.29,0.067,0.357,33.5,13.8,7,0.76,0.85,0.66,2.22,4.33,0.89,0.94,0.91
Barley,Green Beans,2.5,4.2025,1.0115,5.214,0.225,0.055,0.28,36.9,17.3,7,0.76,0.94,0.83,4.15,4.09,0.95,0.95,0.95
Barley,GT,2.5,2.246,0.7402,2.986,0.234,0.084,0.318,31.9,18.2,7,0.76,0.81,0.87,3.03,2.79,0.9,0.89,0.89
Barley,Lab Group A,2.5,2.251,0.949,3.2,0.245,0.068,0.313,34.1,17.6,7,0.76,0.86,0.84,2.37,3.6,0.89,0.93,0.9
Barley,Mushies,2.5,2.822,1.05,3.872,0.331,0.076,0.407,38,21.8,8,0.87,0.96,1.04,2.69,4.36,0.88,0.93,0.89
Barley,Salt,2.5,3.0176,1.7438,4.7614,0.357,0.128,0.485,36.4,19.3,13,1.41,0.92,0.92,1.73,2.79,0.88,0.93,0.9
Barley,Salty Bitches,2.5,1.243,0.395,1.638,0.15,0.029,0.179,35,18.5,5,0.54,0.89,0.89,3.15,5.17,0.88,0.93,0.89
Barley,Salty Sprouts,2.5,1.283,0.569,1.852,0.184,0.064,0.325,29.5,14.3,7,0.76,0.75,0.68,2.25,2.88,0.86,0.89,0.82
Barley,WGW,2.5,1.17,2.25,3.42,0.305,0.083,0.388,33.5,19.5,7,0.76,0.85,0.93,0.52,3.67,0.74,0.96,0.89
Barley,Green Beans,5,1.2004,2.8011,4.0015,0.151,0.049,0.2,13.7,16.5,5,0.54,0.35,0.79,0.43,3.08,0.87,0.98,0.95
Barley,GT,5,1.407,0.519,1.926,0.23,0.055,0.285,35.5,16.9,6,0.65,0.9,0.81,2.71,4.18,0.84,0.89,0.85
Barley,Lab Group A,5,1.497,0.462,1.959,0.173,0.034,0.207,34,17.3,6,0.65,0.86,0.83,3.24,5.09,0.88,0.93,0.89
Barley,Mushies,5,1.161,0.467,1.628,0.165,0.032,0.197,32.5,19.1,5,0.54,0.82,0.91,2.49,5.16,0.86,0.93,0.88
Barley,Salt,5,1.7856,0.8169,2.6025,0.238,0.081,0.319,31.4,17.1,7,0.76,0.8,0.82,2.19,2.94,0.87,0.9,0.88
Barley,Salty Bitches,5,1.119,0.443,1.562,0.166,0.039,0.205,31,17.5,5,0.54,0.79,0.84,2.53,4.26,0.85,0.91,0.87
Barley,Salty Sprouts,5,0.976,0.446,1.422,0.151,0.05,0.208,32.5,13.7,5,0.54,0.82,0.66,2.19,3.02,0.85,0.89,0.85
Barley,sprouts,5,1.4698,0.285,1.7548,0.049,0.011,0.06,32.5,14.5,5,0.54,0.82,0.69,5.16,4.45,0.97,0.96,0.97
Barley,WGW,5,1.932,1.28,3.212,0.262,0.084,0.346,28,13.5,11,1.19,0.71,0.65,1.51,3.12,0.86,0.93,0.89
Barley,Green Beans,10,0.856,2.545,3.401,0.118,0.024,0.142,28.7,13.9,4,0.43,0.73,0.67,0.34,4.92,0.86,0.99,0.96
Barley,GT,10,0.634,0.236,0.87,0.095,0.023,0.118,24.8,10.6,3,0.33,0.63,0.51,2.69,4.13,0.85,0.9,0.86
Barley,Lab Group A,10,0.536,0.261,0.77,0.086,0.017,0.103,18.5,10.6,4,0.43,0.47,0.51,2.05,5.06,0.84,0.93,0.87
Barley,Mushies,10,0.537,0.192,0.729,0.08,0.012,0.092,18.9,12.2,3,0.33,0.48,0.58,2.8,6.67,0.85,0.94,0.87
Barley,Salt,10,0.7146,0.2149,0.9295,0.108,0.018,0.126,22,14.5,5,0.54,0.56,0.69,3.33,6,0.85,0.92,0.86
Barley,Salty Bitches,10,0.71,0.173,0.883,0.121,0.043,0.164,24.1,12,3,0.33,0.61,0.57,4.1,2.81,0.83,0.75,0.81
Barley,Salty Sprouts,10,0.708,0.373,1.081,0.123,0.048,0.135,25.5,14.5,4,0.43,0.65,0.69,1.9,2.56,0.83,0.87,0.88
Barley,sprouts,10,0.8742,0.8706,1.7448,0.157,0.016,0.173,24,9.3,3,0.33,0.61,0.45,1,9.81,0.82,0.98,0.9
Barley,WGW,10,0.92,0.64,1.56,0.14,0.044,0.184,24.5,11,4,0.43,0.62,0.53,1.44,3.18,0.85,0.93,0.88
Barley,sprouts,15,0.345,0.175,0.52,0.263,0.049,0.312,18,8.2,2,0.22,0.46,0.39,1.97,5.37,0.24,0.72,0.4
Barley,Green Beans,15,0.1295,0.1422,0.2717,0.019,0.009,0.028,11.2,12,2,0.22,0.28,0.57,0.91,2.11,0.85,0.94,0.9
Barley,GT,15,0.315,0.043,0.358,0.066,0.005,0.071,19.6,8.7,3,0.33,0.5,0.42,7.33,13.2,0.79,0.88,0.8
Barley,Lab Group A,15,0.897,0.374,1.271,0.12,0.016,0.136,26.2,13.5,3,0.33,0.66,0.65,2.4,7.5,0.87,0.96,0.89
Barley,Mushies,15,0.267,0.2,0.467,0.057,0.029,0.086,16.5,8.5,2,0.22,0.42,0.41,1.34,1.97,0.79,0.86,0.82
Barley,Salt,15,0.1532,0.0913,0.2445,0.033,0.022,0.055,10.7,11.2,2,0.22,0.27,0.54,1.68,1.5,0.78,0.76,0.78
Barley,Salty Bitches,15,0.278,0.02,0.28,0.065,0.026,0.091,17.6,8.5,3,0.33,0.45,0.41,13.9,2.5,0.77,-0.3,0.68
Barley,Salty Sprouts,15,0.134,0.68,0.814,0.041,0.014,0.06,13.5,6,2,0.22,0.34,0.29,0.2,2.93,0.69,0.98,0.93
Barley,WGW,15,0.48,0.32,0.8,0.082,0.025,0.107,18,13,3,0.33,0.46,0.62,1.5,3.28,0.83,0.92,0.87
Wheat,Green Beans,0,2.19,1.2,3.39,0.301,0.092,0.393,38,32,8,1.22,1.14,1.51,1.83,3.27,0.86,0.92,0.88
Wheat,GT,0,1.426,0.616,2.042,0.181,0.037,0.218,28.5,17.5,7,1.07,0.86,0.82,2.31,4.89,0.87,0.94,0.89
Wheat,Lab Group A,0,1.481,0.788,2.269,0.195,0.046,0.241,31.5,16.8,8,1.22,0.95,0.79,1.88,4.24,0.87,0.94,0.89
Wheat,Mushies,0,1.203,0.653,1.856,0.134,0.037,0.171,33.5,23.5,5,0.76,1.01,1.11,1.84,3.62,0.89,0.94,0.91
Wheat,Salt,0,1.4019,0.5648,1.9667,0.191,0.048,0.239,32,19.5,9,1.37,0.96,0.92,2.48,3.98,0.86,0.92,0.88
Wheat,Salty Bitches,0,1.379,0.449,1.828,0.182,0.045,0.227,35,14.5,5,0.76,1.05,0.68,3.07,4.04,0.87,0.9,0.88
Wheat,Salty Sprouts,0,2.346,0.84,3.186,0.306,0.078,0.173,37.6,28.3,8,1.22,1.13,1.33,2.79,3.92,0.87,0.91,0.95
Wheat,sprouts,0,1.232,0.4964,1.7284,0.128,0.029,0.157,27.5,17,4,0.61,0.83,0.8,2.48,4.41,0.9,0.94,0.91
Wheat,WGW,0,1.532,0.55,2.082,0.192,0.032,0.224,36,22,5,0.76,1.08,1.04,2.79,6,0.87,0.94,0.89
Wheat,Green Beans,1.5,1.115,0.602,1.719,0.156,0.055,0.211,37,21,4,0.61,1.11,0.99,1.85,2.84,0.86,0.91,0.88
Wheat,GT,1.5,0.352,1.414,1.766,0.179,0.045,0.224,32,17.8,7,1.07,0.96,0.84,0.25,3.98,0.49,0.97,0.87
Wheat,Lab Group A,1.5,1.356,0.362,1.718,0.204,0.039,0.243,35,18.9,6,0.92,1.05,0.89,3.75,5.23,0.85,0.89,0.86
Wheat,Mushies,1.5,1.062,0.407,1.469,0.158,0.045,0.203,34.9,16.1,4,0.61,1.05,0.76,2.61,3.51,0.85,0.89,0.86
Wheat,Salt,1.5,1.476,0.7312,2.2072,0.204,0.055,0.259,28.6,20.5,8,1.22,0.86,0.97,2.02,3.71,0.86,0.92,0.88
Wheat,Salty Bitches,1.5,1.167,0.394,1.561,0.228,0.063,0.291,29,17,4,0.61,0.87,0.8,2.96,3.62,0.8,0.84,0.81
Wheat,Salty Sprouts,1.5,1.13,0.758,1.888,0.169,0.065,0.157,33.1,24,5,0.76,0.99,1.13,1.49,2.6,0.85,0.91,0.92
Wheat,sprouts,1.5,3.106,2.592,5.698,0.128,0.038,0.166,29.2,18.2,4,0.61,0.88,0.86,1.2,3.37,0.96,0.99,0.97
Wheat,WGW,1.5,1.415,0.827,2.277,0.215,0.048,0.263,35.5,17.9,6,0.92,1.07,0.84,1.71,4.48,0.85,0.94,0.88
Wheat,Green Beans,2.5,1.36,0.8822,2.242,0.192,0.06,0.252,35,34,6,0.92,1.05,1.6,1.54,3.2,0.86,0.93,0.89
Wheat,GT,2.5,0.8479,0.468,1.316,0.112,0.023,0.135,29.8,14.1,4,0.61,0.9,0.66,1.81,4.87,0.87,0.95,0.9
Wheat,Lab Group A,2.5,0.737,0.229,0.986,0.1,0.022,0.122,27.2,15.5,4,0.61,0.82,0.73,3.22,4.55,0.86,0.9,0.88
Wheat,Mushies,2.5,0.694,0.279,0.973,0.101,0.019,0.12,32.3,18.5,4,0.61,0.97,0.87,2.49,5.32,0.85,0.93,0.88
Wheat,Salt,2.5,1.1723,0.4798,1.6521,0.18,0.047,0.227,30.1,5.3,6,0.92,0.9,0.25,2.44,3.83,0.85,0.9,0.86
Wheat,Salty Bitches,2.5,1.624,0.888,2.512,0.155,0.035,0.19,37,26,5,0.76,1.11,1.22,1.83,4.43,0.9,0.96,0.92
Wheat,Salty Sprouts,2.5,1.293,0.45,1.743,0.192,0.054,0.166,35,22.5,4,0.61,1.05,1.06,2.87,3.56,0.85,0.88,0.9
Wheat,sprouts,2.5,3.16,2.885,6.045,0.112,0.027,0.139,36.4,15.3,4,0.61,1.09,0.72,1.1,4.15,0.96,0.99,0.98
Wheat,WGW,2.5,0.81,0.43,1.24,0.127,0.037,0.164,37,15,4,0.61,1.11,0.71,1.88,3.43,0.84,0.91,0.87
Wheat,Green Beans,5,0.767,0.33,1.037,0.115,0.031,0.146,22.5,16,4,0.61,0.68,0.75,2.32,3.71,0.85,0.91,0.86
Wheat,GT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheat,Lab Group A,5,1.132,0.784,1.916,0.16,0.051,0.211,34.2,16.5,4,0.61,1.03,0.78,1.44,3.14,0.86,0.93,0.89
Wheat,Mushies,5,1.154,0.271,1.425,0.167,0.034,0.201,31.2,16,4,0.61,0.94,0.75,4.26,4.91,0.86,0.87,0.86
Wheat,Salt,5,1.3505,0.6208,1.9713,0.192,0.054,0.246,32.2,17.2,8,1.22,0.97,0.81,2.18,3.56,0.86,0.91,0.88
Wheat,Salty Bitches,5,0.441,1.231,1.672,0.17,0.052,0.222,35,15,4,0.61,1.05,0.71,0.36,3.27,0.61,0.96,0.87
Wheat,Salty Sprouts,5,0.599,0.261,0.86,0.123,0.043,0.139,30,21,4,0.61,0.9,0.99,2.3,2.86,0.79,0.84,0.84
Wheat,sprouts,5,0.869,0.422,1.291,0.104,0.019,0.123,32.1,13.2,3,0.46,0.96,0.62,2.06,5.47,0.88,0.95,0.9
Wheat,WGW,5,1.054,0.803,1.857,0.161,0.058,0.219,30,18,4,0.61,0.9,0.85,1.31,2.78,0.85,0.93,0.88
Wheat,Green Beans,10,0.405,0.226,0.631,0.069,0.027,0.096,27,15,3,0.46,0.81,0.71,1.79,2.56,0.83,0.88,0.85
Wheat,GT,10,0.259,0.041,0.3,0.031,0.025,0.056,19,10,3,0.46,0.57,0.47,6.32,1.24,0.88,0.39,0.81
Wheat,Lab Group A,10,0.37,0.097,0.467,0.077,0.01,0.087,25.5,13.6,4,0.61,0.77,0.64,3.81,7.7,0.79,0.9,0.81
Wheat,Mushies,10,0.501,0.296,0.797,0.084,0.07,0.154,28.7,15.2,4,0.61,0.86,0.72,1.69,1.2,0.83,0.76,0.81
Wheat,Salt,10,0.4266,0.2663,0.6929,0.075,0.025,0.1,22.6,12.2,4,0.61,0.68,0.57,1.6,3,0.82,0.91,0.86
Wheat,Salty Bitches,10,0.133,0.568,0.701,0.092,0.023,0.115,27.5,13,4,0.61,0.83,0.61,0.23,4,0.31,0.96,0.84
Wheat,Salty Sprouts,10,0.26,0.51,0.77,0.091,0.017,0.123,26,14,4,0.61,0.78,0.66,0.51,5.35,0.65,0.97,0.84
Wheat,sprouts,10,2.9033,2.4326,5.3359,0.257,0.068,0.325,29,13.5,4,0.61,0.87,0.64,1.19,3.78,0.91,0.97,0.94
Wheat,WGW,10,0.569,0.364,0.933,0.09,0.032,0.122,26.8,8.2,4,0.61,0.81,0.39,1.56,2.81,0.84,0.91,0.87
Wheat,Green Beans,15,0.168,0.078,0.246,0.027,0.02,0.047,18,10.3,3,0.46,0.54,0.49,2.15,1.35,0.84,0.74,0.81
Wheat,GT,15,0.016,0.015,0.031,0.001,0.018,0.019,5,5.8,1,0.15,0.15,0.27,1.07,0.06,0.94,-0.2,0.39
Wheat,Lab Group A,15,0.108,0.049,0.1575,0.017,0.012,0.029,9.6,10.6,2,0.31,0.29,0.5,2.2,1.42,0.84,0.76,0.82
Wheat,Mushies,15,0.211,0.065,0.276,0.056,0.082,0.138,19,8,3,0.46,0.57,0.38,3.25,0.68,0.73,-0.26,0.5
Wheat,Salt,15,0.574,0.002,0.0576,0.018,0.011,0.029,6.4,1.4,2,0.31,0.19,0.07,287,1.64,0.97,-4.5,0.5
Wheat,Salty Bitches,15,0.307,0.139,0.446,0.062,0.021,0.083,20,10,3,0.46,0.6,0.47,2.21,2.95,0.8,0.85,0.81
Wheat,Salty Sprouts,15,0.236,0.102,0.338,0.044,0.015,0.013,13.6,12.4,3,0.46,0.41,0.58,2.31,2.93,0.81,0.85,0.96
Wheat,sprouts,15,2.285,2.275,4.56,0.012,0.001,0.013,12.5,5.5,2,0.31,0.38,0.26,1,12,0.99,1,1
Wheat,WGW,15,0.227,0.15,0.377,0.037,0.017,0.054,15,10,3,0.46,0.45,0.47,1.51,2.18,0.84,0.89,0.86
